0 0 0 0.6
0 1 0 1.4
0 2 0 0.6
0 3 0 1.2
0 4 0 0.8
0 5 0 0.8
0 6 0 1.2
0 7 0 1.2
0 8 0 0.8
0 9 0 0.8
0 10 0 0.4
0 11 0 0.2
0 12 0 1.4
0 13 0 1.2
0 14 0 0.4
0 15 0 0.8
0 16 0 1.4
0 17 0 0.8
0 18 0 0.6
0 19 0 0.6
0 20 0 0.8
0 21 0 0.6
0 22 0 1
0 23 0 0.8
0 24 0 0.6
0 25 0 0.6
0 26 0 1.6
0 27 0 1
0 28 0 1.6
0 29 0 1
0 30 0 0.6
0 31 0 0.8
0 32 0 0.4
0 33 0 0.6
0 34 0 0.8
0 35 0 0.8
0 36 0 0.6
0 37 0 1
0 38 0 0.8
0 39 0 1.2
0 40 0 1.4
0 41 0 0.6
0 42 0 1
0 43 0 1.2
0 44 0 0.6
0 45 0 0.6
0 46 0 0.6
0 47 0 0.2
0 48 0 0.8
0 49 0 0.8
0 50 0 0.4
0 51 0 1.2
0 52 0 0.6
0 53 0 0.8
0 54 0 2.2
0 55 0 1
0 56 0 0.8
0 57 0 1
0 58 0 0.4
0 59 0 0.6
0 60 0 0.8
0 61 0 1.2
0 62 0 0.6
0 63 0 1
0 64 0 2
0 65 0 1.2
0 66 0 1
0 67 0 0.2
0 68 0 0.8
0 69 0 0.6
0 70 0 1
0 71 0 1.2
0 72 0 1.2
0 73 0 0.8
0 74 0 0.6
0 75 0 0.4
0 76 0 1.2
0 77 0 0.6
0 78 0 0.6
0 79 0 0.8
0 80 0 0.8
0 81 0 1
0 82 0 0
0 83 0 1.2
0 84 0 0.4
0 85 0 0.6
0 86 0 1.2
0 87 0 1
0 88 0 0.8
0 89 0 1
0 90 0 0.2
0 91 0 0.8
0 92 0 0.8
0 93 0 0.4
0 94 0 1.6
0 95 0 0.4
0 96 0 0.8
0 97 0 1
0 98 0 0
0 99 0 0.6
0 0 1 1
0 1 1 1
0 2 1 0.6
0 3 1 0.6
0 4 1 1.2
0 5 1 0.8
0 6 1 0.4
0 7 1 0.8
0 8 1 0.8
0 9 1 1
0 10 1 0.8
0 11 1 1
